Alert_ID,Investigator_ID,Investigation_Start,Investigation_End,Resolution_Time_Minutes,Outcome
104,INV_4,2020-01-01 10:16:00,2020-01-01 11:46:00,90,Fraud
105,INV_19,2020-01-01 10:22:00,2020-01-01 12:12:00,110,False Positive
106,INV_7,2020-01-01 09:54:00,2020-01-01 12:22:00,148,False Positive
107,INV_1,2020-01-01 10:33:00,2020-01-01 11:45:00,72,False Positive
108,INV_2,2020-01-01 09:35:00,2020-01-01 11:39:00,124,Fraud
109,INV_9,2020-01-01 10:03:00,2020-01-01 11:09:00,66,Fraud
110,INV_2,2020-01-01 10:41:00,2020-01-01 11:08:00,27,False Positive
111,INV_23,2020-01-01 11:17:00,2020-01-01 12:01:00,44,Fraud
112,INV_16,2020-01-01 11:46:00,2020-01-01 12:55:00,69,Fraud
113,INV_6,2020-01-01 10:41:00,2020-01-01 13:23:00,162,Fraud
114,INV_5,2020-01-01 11:46:00,2020-01-01 13:49:00,123,False Positive
115,INV_8,2020-01-01 10:49:00,2020-01-01 12:36:00,107,Fraud
116,INV_7,2020-01-01 11:40:00,2020-01-01 12:14:00,34,Fraud
117,INV_16,2020-01-01 10:06:00,2020-01-01 12:06:00,120,Fraud
118,INV_18,2020-01-01 10:47:00,2020-01-01 11:25:00,38,False Positive
119,INV_20,2020-01-01 10:23:00,2020-01-01 13:13:00,170,False Positive
120,INV_13,2020-01-01 11:39:00,2020-01-01 12:46:00,67,False Positive
121,INV_13,2020-01-01 11:36:00,2020-01-01 13:07:00,91,Fraud
122,INV_24,2020-01-01 11:57:00,2020-01-01 12:48:00,51,Fraud
123,INV_3,2020-01-01 11:17:00,2020-01-01 12:49:00,92,Fraud
124,INV_8,2020-01-01 12:35:00,2020-01-01 14:21:00,106,Fraud
125,INV_23,2020-01-01 12:15:00,2020-01-01 13:21:00,66,False Positive
126,INV_18,2020-01-01 12:57:00,2020-01-01 15:09:00,132,Fraud
127,INV_15,2020-01-01 11:11:00,2020-01-01 13:49:00,158,False Positive
128,INV_6,2020-01-01 12:22:00,2020-01-01 12:54:00,32,False Positive
129,INV_17,2020-01-01 13:59:00,2020-01-01 16:13:00,134,False Positive
130,INV_19,2020-01-01 12:39:00,2020-01-01 13:24:00,45,Fraud
131,INV_9,2020-01-01 13:05:00,2020-01-01 13:43:00,38,Fraud
132,INV_9,2020-01-01 12:57:00,2020-01-01 14:58:00,121,False Positive
133,INV_22,2020-01-01 12:59:00,2020-01-01 14:26:00,87,Fraud
134,INV_19,2020-01-01 12:47:00,2020-01-01 15:37:00,170,False Positive
135,INV_25,2020-01-01 13:44:00,2020-01-01 14:18:00,34,False Positive
136,INV_10,2020-01-01 13:39:00,2020-01-01 13:49:00,10,Fraud
137,INV_7,2020-01-01 12:27:00,2020-01-01 14:01:00,94,Fraud
138,INV_16,2020-01-01 12:52:00,2020-01-01 14:26:00,94,Fraud
139,INV_8,2020-01-01 12:05:00,2020-01-01 13:08:00,63,False Positive
140,INV_8,2020-01-01 13:53:00,2020-01-01 16:00:00,127,Fraud
141,INV_22,2020-01-01 12:07:00,2020-01-01 14:45:00,158,False Positive
142,INV_4,2020-01-01 13:49:00,2020-01-01 16:41:00,172,False Positive
143,INV_16,2020-01-01 13:57:00,2020-01-01 15:32:00,95,Fraud
144,INV_23,2020-01-01 14:12:00,2020-01-01 14:23:00,11,Fraud
145,INV_10,2020-01-01 13:18:00,2020-01-01 15:15:00,117,False Positive
146,INV_2,2020-01-01 14:31:00,2020-01-01 16:12:00,101,Fraud
147,INV_15,2020-01-01 14:11:00,2020-01-01 15:05:00,54,False Positive
148,INV_20,2020-01-01 14:46:00,2020-01-01 17:17:00,151,Fraud
149,INV_10,2020-01-01 14:25:00,2020-01-01 15:47:00,82,Fraud
150,INV_21,2020-01-01 13:45:00,2020-01-01 15:48:00,123,Fraud
151,INV_16,2020-01-01 13:46:00,2020-01-01 16:40:00,174,Fraud
152,INV_5,2020-01-01 13:57:00,2020-01-01 16:54:00,177,Fraud
153,INV_7,2020-01-01 13:09:00,2020-01-01 13:55:00,46,Fraud
154,INV_5,2020-01-01 13:05:00,2020-01-01 15:33:00,148,False Positive
155,INV_17,2020-01-01 13:19:00,2020-01-01 13:38:00,19,Fraud
156,INV_10,2020-01-01 14:06:00,2020-01-01 15:09:00,63,False Positive
157,INV_13,2020-01-01 15:08:00,2020-01-01 15:18:00,10,False Positive
158,INV_12,2020-01-01 15:37:00,2020-01-01 15:47:00,10,Fraud
159,INV_19,2020-01-01 15:03:00,2020-01-01 16:26:00,83,Fraud
160,INV_1,2020-01-01 15:25:00,2020-01-01 18:20:00,175,Fraud
161,INV_25,2020-01-01 15:45:00,2020-01-01 16:46:00,61,Fraud
162,INV_18,2020-01-01 15:19:00,2020-01-01 17:23:00,124,Fraud
163,INV_17,2020-01-01 14:07:00,2020-01-01 16:47:00,160,Fraud
164,INV_5,2020-01-01 14:31:00,2020-01-01 16:44:00,133,False Positive
165,INV_16,2020-01-01 15:54:00,2020-01-01 16:47:00,53,False Positive
166,INV_3,2020-01-01 15:01:00,2020-01-01 16:49:00,108,Fraud
167,INV_11,2020-01-01 15:58:00,2020-01-01 18:40:00,162,Fraud
168,INV_15,2020-01-01 16:12:00,2020-01-01 18:59:00,167,Fraud
169,INV_14,2020-01-01 15:55:00,2020-01-01 16:12:00,17,Fraud
170,INV_8,2020-01-01 16:11:00,2020-01-01 16:49:00,38,False Positive
171,INV_15,2020-01-01 16:05:00,2020-01-01 16:34:00,29,Fraud
172,INV_11,2020-01-01 15:53:00,2020-01-01 18:41:00,168,Fraud
173,INV_3,2020-01-01 16:09:00,2020-01-01 18:51:00,162,False Positive
174,INV_11,2020-01-01 15:31:00,2020-01-01 15:49:00,18,Fraud
175,INV_9,2020-01-01 16:22:00,2020-01-01 17:51:00,89,Fraud
176,INV_3,2020-01-01 15:07:00,2020-01-01 16:24:00,77,Fraud
177,INV_16,2020-01-01 15:54:00,2020-01-01 16:40:00,46,Fraud
178,INV_24,2020-01-01 15:57:00,2020-01-01 16:32:00,35,False Positive
179,INV_23,2020-01-01 16:15:00,2020-01-01 17:47:00,92,False Positive
180,INV_16,2020-01-01 15:21:00,2020-01-01 18:04:00,163,False Positive
181,INV_18,2020-01-01 15:12:00,2020-01-01 15:43:00,31,False Positive
182,INV_8,2020-01-01 16:17:00,2020-01-01 16:58:00,41,False Positive
183,INV_25,2020-01-01 16:53:00,2020-01-01 17:03:00,10,False Positive
184,INV_4,2020-01-01 15:55:00,2020-01-01 16:58:00,63,Fraud
185,INV_5,2020-01-01 16:29:00,2020-01-01 16:50:00,21,Fraud
186,INV_19,2020-01-01 16:50:00,2020-01-01 19:31:00,161,False Positive
187,INV_23,2020-01-01 16:16:00,2020-01-01 18:27:00,131,False Positive
188,INV_16,2020-01-01 17:43:00,2020-01-01 18:50:00,67,Fraud
189,INV_19,2020-01-01 17:38:00,2020-01-01 18:24:00,46,False Positive
190,INV_25,2020-01-01 17:12:00,2020-01-01 19:59:00,167,False Positive
191,INV_10,2020-01-01 17:57:00,2020-01-01 20:54:00,177,False Positive
192,INV_13,2020-01-01 16:26:00,2020-01-01 17:19:00,53,False Positive
193,INV_23,2020-01-01 17:33:00,2020-01-01 18:27:00,54,Fraud
194,INV_24,2020-01-01 17:48:00,2020-01-01 20:40:00,172,Fraud
195,INV_24,2020-01-01 17:26:00,2020-01-01 18:43:00,77,False Positive
196,INV_16,2020-01-01 16:14:00,2020-01-01 19:06:00,172,False Positive
197,INV_7,2020-01-01 16:21:00,2020-01-01 17:07:00,46,Fraud
198,INV_14,2020-01-01 18:17:00,2020-01-01 20:43:00,146,Fraud
199,INV_5,2020-01-01 17:13:00,2020-01-01 17:34:00,21,Fraud
200,INV_23,2020-01-01 17:42:00,2020-01-01 18:15:00,33,Fraud
201,INV_3,2020-01-01 18:20:00,2020-01-01 20:46:00,146,False Positive
202,INV_7,2020-01-01 18:21:00,2020-01-01 18:58:00,37,Fraud
203,INV_22,2020-01-01 17:34:00,2020-01-01 17:56:00,22,Fraud
204,INV_25,2020-01-01 17:24:00,2020-01-01 17:46:00,22,Fraud
205,INV_25,2020-01-01 19:16:00,2020-01-01 21:36:00,140,Fraud
206,INV_18,2020-01-01 19:18:00,2020-01-01 20:17:00,59,Fraud
207,INV_1,2020-01-01 19:48:00,2020-01-01 21:24:00,96,False Positive
208,INV_11,2020-01-01 19:47:00,2020-01-01 20:28:00,41,False Positive
209,INV_11,2020-01-01 19:23:00,2020-01-01 22:04:00,161,False Positive
210,INV_13,2020-01-01 18:31:00,2020-01-01 21:11:00,160,Fraud
211,INV_15,2020-01-01 19:39:00,2020-01-01 21:05:00,86,False Positive
212,INV_25,2020-01-01 18:44:00,2020-01-01 21:17:00,153,Fraud
213,INV_4,2020-01-01 19:32:00,2020-01-01 20:50:00,78,Fraud
214,INV_18,2020-01-01 19:01:00,2020-01-01 21:25:00,144,False Positive
215,INV_20,2020-01-01 18:20:00,2020-01-01 19:44:00,84,False Positive
216,INV_4,2020-01-01 19:58:00,2020-01-01 21:00:00,62,False Positive
217,INV_3,2020-01-01 18:50:00,2020-01-01 20:21:00,91,False Positive
218,INV_22,2020-01-01 18:24:00,2020-01-01 20:52:00,148,False Positive
219,INV_9,2020-01-01 19:21:00,2020-01-01 19:41:00,20,Fraud
220,INV_6,2020-01-01 19:40:00,2020-01-01 22:25:00,165,False Positive
221,INV_13,2020-01-01 19:40:00,2020-01-01 22:13:00,153,Fraud
222,INV_5,2020-01-01 19:32:00,2020-01-01 20:22:00,50,False Positive
223,INV_13,2020-01-01 19:07:00,2020-01-01 19:58:00,51,Fraud
224,INV_7,2020-01-01 19:12:00,2020-01-01 19:55:00,43,False Positive
225,INV_18,2020-01-01 20:17:00,2020-01-01 22:57:00,160,Fraud
226,INV_25,2020-01-01 20:18:00,2020-01-01 21:24:00,66,Fraud
227,INV_5,2020-01-01 19:20:00,2020-01-01 21:53:00,153,False Positive
228,INV_8,2020-01-01 19:28:00,2020-01-01 20:29:00,61,False Positive
229,INV_7,2020-01-01 19:21:00,2020-01-01 19:36:00,15,False Positive
230,INV_21,2020-01-01 19:29:00,2020-01-01 21:13:00,104,Fraud
231,INV_16,2020-01-01 19:27:00,2020-01-01 21:11:00,104,Fraud
232,INV_1,2020-01-01 20:13:00,2020-01-01 21:32:00,79,Fraud
233,INV_17,2020-01-01 20:31:00,2020-01-01 22:45:00,134,False Positive
234,INV_21,2020-01-01 20:56:00,2020-01-01 23:49:00,173,Fraud
235,INV_22,2020-01-01 20:24:00,2020-01-01 20:44:00,20,Fraud
236,INV_6,2020-01-01 21:47:00,2020-01-02 00:20:00,153,False Positive
237,INV_25,2020-01-01 21:18:00,2020-01-01 21:36:00,18,False Positive
238,INV_22,2020-01-01 21:18:00,2020-01-01 23:50:00,152,False Positive
239,INV_16,2020-01-01 21:39:00,2020-01-01 22:39:00,60,Fraud
240,INV_16,2020-01-01 22:29:00,2020-01-02 00:03:00,94,False Positive
241,INV_5,2020-01-01 22:35:00,2020-01-02 01:21:00,166,Fraud
242,INV_14,2020-01-01 22:43:00,2020-01-01 23:54:00,71,False Positive
243,INV_20,2020-01-01 23:06:00,2020-01-01 23:41:00,35,False Positive
244,INV_20,2020-01-01 22:30:00,2020-01-02 00:51:00,141,Fraud
245,INV_14,2020-01-01 22:58:00,2020-01-02 00:50:00,112,Fraud
246,INV_19,2020-01-01 22:57:00,2020-01-02 01:34:00,157,Fraud
247,INV_23,2020-01-01 23:25:00,2020-01-02 01:34:00,129,False Positive
248,INV_24,2020-01-01 22:12:00,2020-01-01 23:16:00,64,Fraud
249,INV_4,2020-01-01 22:41:00,2020-01-02 00:23:00,102,False Positive
250,INV_10,2020-01-01 22:15:00,2020-01-02 00:29:00,134,Fraud
251,INV_7,2020-01-01 23:57:00,2020-01-02 02:47:00,170,Fraud
252,INV_15,2020-01-01 22:13:00,2020-01-02 00:20:00,127,False Positive
253,INV_2,2020-01-01 23:04:00,2020-01-02 01:12:00,128,False Positive
254,INV_11,2020-01-01 23:58:00,2020-01-02 00:17:00,19,Fraud
255,INV_4,2020-01-01 22:05:00,2020-01-01 23:31:00,86,Fraud
256,INV_13,2020-01-01 23:40:00,2020-01-02 00:01:00,21,Fraud
257,INV_24,2020-01-01 23:38:00,2020-01-02 02:18:00,160,False Positive
258,INV_5,2020-01-01 22:26:00,2020-01-01 23:26:00,60,Fraud
259,INV_6,2020-01-01 23:40:00,2020-01-02 01:47:00,127,Fraud
260,INV_21,2020-01-01 23:40:00,2020-01-02 01:15:00,95,False Positive
261,INV_12,2020-01-01 22:22:00,2020-01-02 00:27:00,125,Fraud
262,INV_15,2020-01-01 22:25:00,2020-01-01 22:52:00,27,False Positive
263,INV_23,2020-01-01 22:08:00,2020-01-01 22:42:00,34,Fraud
264,INV_24,2020-01-02 00:05:00,2020-01-02 01:57:00,112,Fraud
265,INV_4,2020-01-01 23:17:00,2020-01-01 23:57:00,40,False Positive
266,INV_3,2020-01-02 00:43:00,2020-01-02 02:06:00,83,False Positive
267,INV_10,2020-01-02 01:16:00,2020-01-02 03:50:00,154,Fraud
268,INV_9,2020-01-02 01:58:00,2020-01-02 04:12:00,134,False Positive
269,INV_14,2020-01-02 00:53:00,2020-01-02 01:11:00,18,Fraud
270,INV_21,2020-01-02 01:05:00,2020-01-02 02:16:00,71,Fraud
271,INV_13,2020-01-02 01:07:00,2020-01-02 03:36:00,149,False Positive
272,INV_2,2020-01-02 02:52:00,2020-01-02 03:56:00,64,False Positive
273,INV_16,2020-01-02 02:52:00,2020-01-02 04:32:00,100,False Positive
274,INV_9,2020-01-02 01:53:00,2020-01-02 02:23:00,30,False Positive
275,INV_4,2020-01-02 01:50:00,2020-01-02 04:23:00,153,Fraud
276,INV_17,2020-01-02 01:37:00,2020-01-02 03:35:00,118,Fraud
277,INV_14,2020-01-02 02:10:00,2020-01-02 02:27:00,17,Fraud
278,INV_20,2020-01-02 01:50:00,2020-01-02 02:08:00,18,Fraud
279,INV_5,2020-01-02 02:10:00,2020-01-02 02:24:00,14,False Positive
280,INV_19,2020-01-02 02:14:00,2020-01-02 03:48:00,94,False Positive
281,INV_20,2020-01-02 02:45:00,2020-01-02 04:11:00,86,False Positive
282,INV_5,2020-01-02 01:49:00,2020-01-02 04:12:00,143,Fraud
283,INV_5,2020-01-02 02:38:00,2020-01-02 04:03:00,85,Fraud
284,INV_6,2020-01-02 02:14:00,2020-01-02 03:28:00,74,Fraud
285,INV_10,2020-01-02 02:21:00,2020-01-02 03:41:00,80,False Positive
286,INV_5,2020-01-02 02:12:00,2020-01-02 04:12:00,120,False Positive
287,INV_21,2020-01-02 02:04:00,2020-01-02 04:09:00,125,Fraud
288,INV_24,2020-01-02 01:38:00,2020-01-02 03:39:00,121,Fraud
289,INV_10,2020-01-02 02:31:00,2020-01-02 05:25:00,174,False Positive
290,INV_8,2020-01-02 03:15:00,2020-01-02 05:01:00,106,Fraud
291,INV_22,2020-01-02 03:28:00,2020-01-02 04:56:00,88,Fraud
292,INV_19,2020-01-02 02:53:00,2020-01-02 03:52:00,59,False Positive
293,INV_20,2020-01-02 03:08:00,2020-01-02 05:25:00,137,False Positive
294,INV_1,2020-01-02 03:18:00,2020-01-02 06:04:00,166,Fraud
295,INV_23,2020-01-02 02:33:00,2020-01-02 03:41:00,68,Fraud
296,INV_7,2020-01-02 03:06:00,2020-01-02 05:45:00,159,Fraud
297,INV_5,2020-01-02 03:53:00,2020-01-02 04:18:00,25,Fraud
298,INV_22,2020-01-02 02:50:00,2020-01-02 03:54:00,64,False Positive
299,INV_12,2020-01-02 03:43:00,2020-01-02 06:05:00,142,False Positive
300,INV_11,2020-01-02 03:35:00,2020-01-02 06:13:00,158,False Positive
301,INV_15,2020-01-02 03:12:00,2020-01-02 03:58:00,46,False Positive
302,INV_25,2020-01-02 03:21:00,2020-01-02 06:00:00,159,False Positive
303,INV_1,2020-01-02 04:04:00,2020-01-02 06:42:00,158,False Positive
304,INV_25,2020-01-02 03:26:00,2020-01-02 05:14:00,108,Fraud
305,INV_18,2020-01-02 04:25:00,2020-01-02 04:58:00,33,Fraud
306,INV_23,2020-01-02 03:21:00,2020-01-02 03:46:00,25,Fraud
307,INV_25,2020-01-02 04:44:00,2020-01-02 07:37:00,173,Fraud
308,INV_5,2020-01-02 04:49:00,2020-01-02 06:50:00,121,False Positive
309,INV_22,2020-01-02 04:24:00,2020-01-02 06:56:00,152,False Positive
310,INV_2,2020-01-02 04:49:00,2020-01-02 06:02:00,73,Fraud
311,INV_5,2020-01-02 05:02:00,2020-01-02 07:15:00,133,False Positive
312,INV_16,2020-01-02 05:45:00,2020-01-02 08:03:00,138,False Positive
313,INV_11,2020-01-02 04:05:00,2020-01-02 06:20:00,135,Fraud
314,INV_1,2020-01-02 06:21:00,2020-01-02 07:53:00,92,False Positive
315,INV_25,2020-01-02 05:30:00,2020-01-02 07:17:00,107,False Positive
316,INV_16,2020-01-02 06:20:00,2020-01-02 07:18:00,58,False Positive
317,INV_12,2020-01-02 05:32:00,2020-01-02 07:57:00,145,Fraud
318,INV_9,2020-01-02 07:04:00,2020-01-02 07:58:00,54,Fraud
319,INV_14,2020-01-02 07:47:00,2020-01-02 08:55:00,68,Fraud
320,INV_24,2020-01-02 07:35:00,2020-01-02 09:05:00,90,Fraud
321,INV_22,2020-01-02 06:33:00,2020-01-02 07:38:00,65,False Positive
322,INV_5,2020-01-02 07:46:00,2020-01-02 08:11:00,25,Fraud
323,INV_6,2020-01-02 07:55:00,2020-01-02 10:54:00,179,Fraud
324,INV_24,2020-01-02 06:12:00,2020-01-02 08:30:00,138,False Positive
325,INV_17,2020-01-02 07:55:00,2020-01-02 09:38:00,103,False Positive
326,INV_8,2020-01-02 07:50:00,2020-01-02 09:19:00,89,Fraud
327,INV_8,2020-01-02 08:13:00,2020-01-02 10:48:00,155,Fraud
328,INV_14,2020-01-02 07:21:00,2020-01-02 09:25:00,124,Fraud
329,INV_22,2020-01-02 07:33:00,2020-01-02 10:09:00,156,Fraud
330,INV_1,2020-01-02 07:25:00,2020-01-02 09:05:00,100,Fraud
331,INV_2,2020-01-02 07:54:00,2020-01-02 10:48:00,174,False Positive
332,INV_5,2020-01-02 07:17:00,2020-01-02 08:04:00,47,False Positive
333,INV_1,2020-01-02 08:20:00,2020-01-02 09:26:00,66,Fraud
334,INV_11,2020-01-02 08:24:00,2020-01-02 10:49:00,145,False Positive
335,INV_2,2020-01-02 08:56:00,2020-01-02 10:05:00,69,Fraud
336,INV_7,2020-01-02 08:07:00,2020-01-02 10:02:00,115,False Positive
337,INV_19,2020-01-02 08:14:00,2020-01-02 09:00:00,46,Fraud
338,INV_20,2020-01-02 08:13:00,2020-01-02 10:37:00,144,False Positive
339,INV_1,2020-01-02 09:40:00,2020-01-02 10:14:00,34,Fraud
340,INV_11,2020-01-02 09:25:00,2020-01-02 10:36:00,71,Fraud
341,INV_22,2020-01-02 09:41:00,2020-01-02 12:39:00,178,Fraud
342,INV_19,2020-01-02 09:55:00,2020-01-02 12:21:00,146,False Positive
343,INV_6,2020-01-02 09:38:00,2020-01-02 11:21:00,103,False Positive
344,INV_22,2020-01-02 08:44:00,2020-01-02 11:35:00,171,Fraud
345,INV_25,2020-01-02 08:33:00,2020-01-02 11:16:00,163,Fraud
346,INV_5,2020-01-02 09:47:00,2020-01-02 10:08:00,21,False Positive
347,INV_7,2020-01-02 09:36:00,2020-01-02 12:28:00,172,False Positive
