Alert_ID,Transaction_ID,Customer_ID,Alert_Date,Risk_Score,Risk_Tier,Investigation_Status
69,3708201,C1525478845,2020-01-12 13:00:00,0.4146722613415858,Medium,Pending
70,3710727,C2046925137,2020-01-12 13:00:00,0.4279199469137176,Medium,Pending
71,3713441,C1850145800,2020-01-12 13:00:00,0.433586507586854,Medium,Pending
72,3715595,C844890068,2020-01-12 14:00:00,0.4857407251329089,Medium,Pending
73,3717146,C517343666,2020-01-12 14:00:00,0.4241311714627246,Medium,Pending
74,3717688,C781771757,2020-01-12 14:00:00,0.4215052199420538,Medium,Pending
75,3719185,C183631913,2020-01-12 14:00:00,0.4195325029231185,Medium,Pending
76,3719290,C704205641,2020-01-12 14:00:00,0.4061178845827909,Medium,Pending
77,3720472,C1289020569,2020-01-12 14:00:00,0.4954910850179657,Medium,Pending
78,3721955,C1601768700,2020-01-12 14:00:00,0.41486258788893493,Medium,Pending
79,3721956,C1107818863,2020-01-12 14:00:00,0.4061088493366226,Medium,Pending
80,3726764,C887749573,2020-01-12 14:00:00,0.492560263980369,Medium,Pending
81,3732167,C1732336436,2020-01-12 14:00:00,0.4178751000487675,Medium,Pending
82,3732464,C1965567777,2020-01-12 14:00:00,0.40228635602549645,Medium,Pending
83,3733546,C31593462,2020-01-12 14:00:00,0.7554911991998143,High,Pending
84,3733547,C684295480,2020-01-12 14:00:00,0.42649900854077805,Medium,Pending
85,3735446,C1512928781,2020-01-12 14:00:00,0.42555531439344874,Medium,Pending
86,3737629,C25511325,2020-01-12 14:00:00,0.5336011541814019,Medium,Pending
87,3740893,C728044836,2020-01-12 14:00:00,0.5490951024772162,Medium,Pending
88,3742402,C399983585,2020-01-12 15:00:00,0.41929223968691964,Medium,Pending
89,3742403,C1337073142,2020-01-12 15:00:00,0.4184486610707312,Medium,Pending
90,3742610,C1399227772,2020-01-12 15:00:00,0.5797603082550093,Medium,Pending
91,3743183,C566758972,2020-01-12 15:00:00,0.5091922333487431,Medium,Pending
92,3747401,C332071605,2020-01-12 15:00:00,0.5477108197596634,Medium,Pending
93,3747402,C1255417607,2020-01-12 15:00:00,0.483018738192429,Medium,Pending
94,3748419,C1361430680,2020-01-12 15:00:00,0.5239934435721489,Medium,Pending
95,3748420,C1547880251,2020-01-12 15:00:00,0.4006443071785942,Medium,Pending
96,3749261,C217293176,2020-01-12 15:00:00,0.42632210394232484,Medium,Pending
97,3749661,C42577384,2020-01-12 15:00:00,0.4387281451727089,Medium,Pending
98,3750712,C1845534968,2020-01-12 15:00:00,0.7301591866467392,High,Pending
99,3750973,C1237771660,2020-01-12 15:00:00,0.6177503547239627,Medium,Pending
100,3752734,C1339787537,2020-01-12 15:00:00,0.4790702308200113,Medium,Pending
101,3754019,C1685295215,2020-01-12 15:00:00,0.4646388982417612,Medium,Pending
102,3754020,C1949520965,2020-01-12 15:00:00,0.46226372076446864,Medium,Pending
103,3755847,C256397271,2020-01-12 15:00:00,0.6499179389084975,Medium,Pending
104,3755952,C45285929,2020-01-12 15:00:00,0.4367055562814798,Medium,Pending
105,3755978,C1301835320,2020-01-12 15:00:00,0.673908719355284,Medium,Pending
106,3755979,C2007360267,2020-01-12 15:00:00,0.42041607380863893,Medium,Pending
107,3757066,C1534780687,2020-01-12 15:00:00,0.459455364475964,Medium,Pending
108,3758465,C606497051,2020-01-12 15:00:00,0.4220634494254907,Medium,Pending
109,3759493,C231288689,2020-01-12 15:00:00,0.6072491907488571,Medium,Pending
110,3759536,C1497815394,2020-01-12 15:00:00,0.4821590906736697,Medium,Pending
111,3760994,C1587463343,2020-01-12 15:00:00,0.5558254897865644,Medium,Pending
112,3762462,C1524335354,2020-01-12 15:00:00,0.5835581671859863,Medium,Pending
113,3763136,C1083523322,2020-01-12 15:00:00,0.541447312311759,Medium,Pending
114,3766399,C906095950,2020-01-12 15:00:00,0.44996402888835646,Medium,Pending
115,3766884,C1087167148,2020-01-12 16:00:00,0.4848118813974752,Medium,Pending
116,3767147,C1927064014,2020-01-12 16:00:00,0.4380508725122746,Medium,Pending
117,3771433,C1304623104,2020-01-12 16:00:00,0.4418611823553329,Medium,Pending
118,3771898,C573837343,2020-01-12 16:00:00,0.4813706210469181,Medium,Pending
119,3774450,C266734444,2020-01-12 16:00:00,0.41532042432642086,Medium,Pending
120,3777714,C172858776,2020-01-12 16:00:00,0.517209856105792,Medium,Pending
121,3778565,C1473635164,2020-01-12 16:00:00,0.5839779123116597,Medium,Pending
122,3779137,C320268178,2020-01-12 16:00:00,0.5149680092371431,Medium,Pending
123,3779672,C161845266,2020-01-12 16:00:00,0.5214720669768113,Medium,Pending
124,3779730,C1201808245,2020-01-12 16:00:00,0.42688818508830173,Medium,Pending
125,3779731,C751087759,2020-01-12 16:00:00,0.43559178084117417,Medium,Pending
126,3781616,C1668745046,2020-01-12 16:00:00,0.43167925180627775,Medium,Pending
127,3781697,C2035175467,2020-01-12 16:00:00,0.47846123096749016,Medium,Pending
128,3781923,C684935090,2020-01-12 16:00:00,0.4262986975936056,Medium,Pending
129,3782845,C670639294,2020-01-12 16:00:00,0.5813092003398208,Medium,Pending
130,3783267,C823701970,2020-01-12 16:00:00,0.47523834668030257,Medium,Pending
131,3783268,C271854844,2020-01-12 16:00:00,0.4738234694882657,Medium,Pending
132,3785343,C527364887,2020-01-12 16:00:00,0.4065612205117749,Medium,Pending
133,3785872,C1538960359,2020-01-12 16:00:00,0.4277463645423573,Medium,Pending
134,3785873,C590489295,2020-01-12 16:00:00,0.41122995249237215,Medium,Pending
135,3786299,C896903193,2020-01-12 16:00:00,0.47144560772720234,Medium,Pending
136,3786300,C449241816,2020-01-12 16:00:00,0.4950767761537602,Medium,Pending
137,3787728,C1819933745,2020-01-12 16:00:00,0.40850244842116984,Medium,Pending
138,3789535,C1735247380,2020-01-12 16:00:00,0.4303428334650713,Medium,Pending
139,3790060,C731404605,2020-01-12 16:00:00,0.45151418156431644,Medium,Pending
140,3791460,C2065398513,2020-01-12 16:00:00,0.43464427993270827,Medium,Pending
141,3793472,C1876304975,2020-01-12 17:00:00,0.4030980837406676,Medium,Pending
142,3794773,C1867845412,2020-01-12 17:00:00,0.44204944931118506,Medium,Pending
143,3795436,C2133303943,2020-01-12 17:00:00,0.44069438326198096,Medium,Pending
144,3795437,C1793966542,2020-01-12 17:00:00,0.6008040211218619,Medium,Pending
145,3795532,C1175984461,2020-01-12 17:00:00,0.43714443637512457,Medium,Pending
146,3795533,C1872840947,2020-01-12 17:00:00,0.4115659895348279,Medium,Pending
147,3795692,C1678637689,2020-01-12 17:00:00,0.4345734770832257,Medium,Pending
148,3796066,C1190626452,2020-01-12 17:00:00,0.5830885476135298,Medium,Pending
149,3796415,C1253079033,2020-01-12 17:00:00,0.5188004189512851,Medium,Pending
150,3796416,C1100410968,2020-01-12 17:00:00,0.5315808637791393,Medium,Pending
151,3798259,C1294816356,2020-01-12 17:00:00,0.4643278542664002,Medium,Pending
152,3798410,C441984477,2020-01-12 17:00:00,0.4220147540948396,Medium,Pending
153,3799317,C236465733,2020-01-12 17:00:00,0.4880780925992129,Medium,Pending
154,3799318,C718364187,2020-01-12 17:00:00,0.42085219261099255,Medium,Pending
155,3799894,C1223028177,2020-01-12 17:00:00,0.6940695422890548,Medium,Pending
156,3799895,C158892010,2020-01-12 17:00:00,0.40458750459096354,Medium,Pending
157,3799943,C1744392408,2020-01-12 17:00:00,0.45994360093826614,Medium,Pending
158,3801348,C1139460122,2020-01-12 17:00:00,0.7349116656307757,High,Pending
159,3802365,C385252041,2020-01-12 17:00:00,0.607724089311769,Medium,Pending
160,3802995,C1406624799,2020-01-12 17:00:00,0.4854044044423007,Medium,Pending
161,3809160,C156600776,2020-01-12 17:00:00,0.4905257184790178,Medium,Pending
162,3811040,C977746593,2020-01-12 17:00:00,0.43429242742344415,Medium,Pending
163,3811041,C1607717460,2020-01-12 17:00:00,0.41033856129250573,Medium,Pending
164,3811164,C33817990,2020-01-12 17:00:00,0.5555678716146337,Medium,Pending
165,3811229,C1025223884,2020-01-12 17:00:00,0.48677631264953036,Medium,Pending
166,3812249,C1920591060,2020-01-12 17:00:00,0.5583918585367538,Medium,Pending
167,3812250,C788360480,2020-01-12 17:00:00,0.5225871036897479,Medium,Pending
168,3812827,C1776390461,2020-01-12 17:00:00,0.4746020162000579,Medium,Pending
169,3812828,C208329746,2020-01-12 17:00:00,0.46923350696306954,Medium,Pending
170,3814883,C165012828,2020-01-12 17:00:00,0.42692387069123744,Medium,Pending
171,3815328,C452313985,2020-01-12 17:00:00,0.41626713865266357,Medium,Pending
172,3815329,C377571159,2020-01-12 17:00:00,0.4184527606421736,Medium,Pending
173,3815798,C1672304119,2020-01-12 17:00:00,0.551253708759629,Medium,Pending
174,3815799,C153152648,2020-01-12 17:00:00,0.40011198569034245,Medium,Pending
175,3816444,C1459702162,2020-01-12 17:00:00,0.5109515375412153,Medium,Pending
176,3816553,C629712073,2020-01-12 17:00:00,0.557837279073483,Medium,Pending
177,3816554,C1953100208,2020-01-12 17:00:00,0.4024701290587108,Medium,Pending
178,3821449,C1676023417,2020-01-12 18:00:00,0.4924693870043366,Medium,Pending
179,3822231,C578190255,2020-01-12 18:00:00,0.5276836749148812,Medium,Pending
180,3822701,C1225002176,2020-01-12 18:00:00,0.42713701319631675,Medium,Pending
181,3825307,C1541339097,2020-01-12 18:00:00,0.42714953096940145,Medium,Pending
182,3826206,C1362894854,2020-01-12 18:00:00,0.40643679097297103,Medium,Pending
183,3827189,C1998525990,2020-01-12 18:00:00,0.5676875779099978,Medium,Pending
184,3827190,C1427876134,2020-01-12 18:00:00,0.4565707367439512,Medium,Pending
185,3827424,C496051401,2020-01-12 18:00:00,0.4282109243345562,Medium,Pending
186,3827425,C2101165270,2020-01-12 18:00:00,0.4471717508917369,Medium,Pending
187,3828774,C464295785,2020-01-12 18:00:00,0.6071367790778782,Medium,Pending
188,3828775,C2039041492,2020-01-12 18:00:00,0.4149510566573215,Medium,Pending
189,3828824,C1368963451,2020-01-12 18:00:00,0.409085200218748,Medium,Pending
190,3830152,C952958807,2020-01-12 18:00:00,0.4618012117802146,Medium,Pending
191,3831591,C745981761,2020-01-12 18:00:00,0.5712289150229146,Medium,Pending
192,3831901,C632079286,2020-01-12 18:00:00,0.4826704902711656,Medium,Pending
193,3832751,C1122413066,2020-01-12 18:00:00,0.609628783475421,Medium,Pending
194,3833122,C757204460,2020-01-12 18:00:00,0.4579564784397747,Medium,Pending
195,3833220,C112439114,2020-01-12 18:00:00,0.4082018015968546,Medium,Pending
196,3834388,C566169398,2020-01-12 18:00:00,0.5147572375338936,Medium,Pending
197,3835290,C140591783,2020-01-12 18:00:00,0.7082864436031345,High,Pending
198,3835891,C874478710,2020-01-12 18:00:00,0.4168665923743168,Medium,Pending
199,3836049,C189794691,2020-01-12 18:00:00,0.5846721827352859,Medium,Pending
200,3836319,C1110779546,2020-01-12 18:00:00,0.4586098152396025,Medium,Pending
201,3836933,C1578741470,2020-01-12 18:00:00,0.4004094378762293,Medium,Pending
202,3836934,C1958620793,2020-01-12 18:00:00,0.4874143688705767,Medium,Pending
203,3837200,C1363464542,2020-01-12 18:00:00,0.5444170314607049,Medium,Pending
204,3837910,C171512830,2020-01-12 18:00:00,0.42932783179262246,Medium,Pending
205,3838268,C1254703602,2020-01-12 18:00:00,0.43787000463887504,Medium,Pending
206,3838729,C1662170557,2020-01-12 18:00:00,0.4477297581361648,Medium,Pending
207,3839627,C621607831,2020-01-12 18:00:00,0.46280373459980045,Medium,Pending
208,3840000,C1551396234,2020-01-12 18:00:00,0.5848460835861256,Medium,Pending
209,3840001,C265490212,2020-01-12 18:00:00,0.4741150995421599,Medium,Pending
210,3841771,C219724923,2020-01-12 18:00:00,0.4392655979211584,Medium,Pending
211,3841894,C1582344102,2020-01-12 18:00:00,0.48470335811409015,Medium,Pending
212,3842063,C568879090,2020-01-12 18:00:00,0.4111633101691539,Medium,Pending
213,3842647,C1349367295,2020-01-12 18:00:00,0.5714473930814954,Medium,Pending
214,3842665,C601774538,2020-01-12 18:00:00,0.45903794820308763,Medium,Pending
215,3843122,C140070799,2020-01-12 18:00:00,0.4316973380484317,Medium,Pending
216,3846932,C1465545297,2020-01-12 18:00:00,0.43511839229199856,Medium,Pending
217,3849466,C952727134,2020-01-12 18:00:00,0.42884419367121834,Medium,Pending
218,3849654,C543086845,2020-01-12 18:00:00,0.6389054331861863,Medium,Pending
219,3849655,C1813537708,2020-01-12 18:00:00,0.41507517528867366,Medium,Pending
220,3850857,C990806761,2020-01-12 18:00:00,0.45884741577230903,Medium,Pending
221,3853686,C1079825850,2020-01-12 19:00:00,0.416683275555763,Medium,Pending
222,3853738,C1905725397,2020-01-12 19:00:00,0.4544510526519353,Medium,Pending
223,3853739,C520626363,2020-01-12 19:00:00,0.4076392842256498,Medium,Pending
224,3853996,C41081789,2020-01-12 19:00:00,0.5700509325748953,Medium,Pending
225,3854364,C383401007,2020-01-12 19:00:00,0.5345120585720164,Medium,Pending
226,3854615,C679189901,2020-01-12 19:00:00,0.42695525492819614,Medium,Pending
227,3855325,C1194712625,2020-01-12 19:00:00,0.5571019201780947,Medium,Pending
228,3856511,C71114444,2020-01-12 19:00:00,0.4305761562565269,Medium,Pending
229,3856961,C820643524,2020-01-12 19:00:00,0.5366364443631065,Medium,Pending
230,3857904,C1549128592,2020-01-12 19:00:00,0.45707769602876436,Medium,Pending
231,3859608,C1273768806,2020-01-12 19:00:00,0.7511376413570119,High,Pending
232,3862075,C206223994,2020-01-12 19:00:00,0.5436354379164623,Medium,Pending
233,3864130,C256698564,2020-01-12 19:00:00,0.7312377557177336,High,Pending
234,3864131,C1542160234,2020-01-12 19:00:00,0.4309924568668623,Medium,Pending
235,3864326,C633676696,2020-01-12 19:00:00,0.5893024120915336,Medium,Pending
236,3864327,C729460978,2020-01-12 19:00:00,0.45162335672355436,Medium,Pending
237,3864453,C1511757918,2020-01-12 19:00:00,0.40848366032778116,Medium,Pending
238,3864642,C810505598,2020-01-12 19:00:00,0.49276375798076777,Medium,Pending
239,3864643,C598154353,2020-01-12 19:00:00,0.5117309144501093,Medium,Pending
240,3865584,C126362999,2020-01-12 19:00:00,0.49640753682741273,Medium,Pending
241,3865585,C960156586,2020-01-12 19:00:00,0.49011807398343077,Medium,Pending
242,3867127,C1512215721,2020-01-12 19:00:00,0.41776120804640027,Medium,Pending
243,3867478,C1516273183,2020-01-12 19:00:00,0.561530963639385,Medium,Pending
244,3867479,C1041279319,2020-01-12 19:00:00,0.579967403890318,Medium,Pending
245,3867970,C299996948,2020-01-12 19:00:00,0.4431033122949293,Medium,Pending
246,3867971,C419818712,2020-01-12 19:00:00,0.4276029310316589,Medium,Pending
247,3870535,C970690907,2020-01-12 19:00:00,0.4528616865653984,Medium,Pending
248,3871572,C2084296908,2020-01-12 19:00:00,0.4125334610602269,Medium,Pending
249,3871573,C1023903629,2020-01-12 19:00:00,0.4101175129848893,Medium,Pending
250,3871631,C658546481,2020-01-12 19:00:00,0.425726954161138,Medium,Pending
251,3871663,C839864885,2020-01-12 19:00:00,0.44102499138783546,Medium,Pending
252,3873119,C2139988800,2020-01-12 19:00:00,0.4009374621631191,Medium,Pending
253,3873286,C1463049424,2020-01-12 19:00:00,0.40795195081079705,Medium,Pending
254,3874939,C626152842,2020-01-12 19:00:00,0.6312482096373516,Medium,Pending
255,3874967,C1015946711,2020-01-12 19:00:00,0.407196318417373,Medium,Pending
256,3875276,C371210855,2020-01-12 19:00:00,0.5015227029077913,Medium,Pending
257,3876558,C1620913175,2020-01-12 19:00:00,0.5485755076742896,Medium,Pending
258,3876559,C1169144755,2020-01-12 19:00:00,0.401468142490117,Medium,Pending
259,3878111,C1861117738,2020-01-12 19:00:00,0.6341166643514147,Medium,Pending
260,3880287,C1595257447,2020-01-12 19:00:00,0.5609297794065528,Medium,Pending
261,3880662,C831435828,2020-01-12 19:00:00,0.6725739199135703,Medium,Pending
262,3881375,C1481401270,2020-01-12 19:00:00,0.4435530935337742,Medium,Pending
263,3882437,C1248306329,2020-01-12 19:00:00,0.46945315626287354,Medium,Pending
264,3882438,C1723260859,2020-01-12 19:00:00,0.5709856051814262,Medium,Pending
265,3882496,C1980218750,2020-01-12 19:00:00,0.4573133824286235,Medium,Pending
266,3882681,C2063817135,2020-01-12 19:00:00,0.4736745224056979,Medium,Pending
267,3884501,C1354928643,2020-01-12 19:00:00,0.46451548759498607,Medium,Pending
268,3884519,C425634143,2020-01-12 19:00:00,0.5232900637722046,Medium,Pending
269,3884563,C2103541807,2020-01-12 19:00:00,0.4905469485512953,Medium,Pending
270,3884564,C1337595391,2020-01-12 19:00:00,0.5220328208227968,Medium,Pending
271,3884824,C1771534040,2020-01-12 19:00:00,0.40017193615848234,Medium,Pending
272,3885273,C1025939899,2020-01-12 19:00:00,0.5694012230034307,Medium,Pending
273,3888066,C2098212882,2020-01-12 19:00:00,0.41379616344150705,Medium,Pending
274,3888067,C859716258,2020-01-12 19:00:00,0.4186423034089498,Medium,Pending
275,3888278,C1971023464,2020-01-12 19:00:00,0.5952459196727574,Medium,Pending
276,3888279,C1128065168,2020-01-12 19:00:00,0.4059539911507384,Medium,Pending
277,3889635,C930202336,2020-01-12 20:00:00,0.4488610889437721,Medium,Pending
278,3889636,C1685803300,2020-01-12 20:00:00,0.5624191806452973,Medium,Pending
279,3889815,C1511368134,2020-01-12 20:00:00,0.46870040760042636,Medium,Pending
280,3890101,C1545425967,2020-01-12 20:00:00,0.5088293379459229,Medium,Pending
281,3890102,C398669472,2020-01-12 20:00:00,0.4100549431252548,Medium,Pending
282,3890726,C173148914,2020-01-12 20:00:00,0.7131417851741912,High,Pending
283,3891385,C2145266505,2020-01-12 20:00:00,0.4887495522140878,Medium,Pending
284,3892530,C1139847449,2020-01-12 20:00:00,0.7863850121374583,High,Pending
285,3892664,C27346694,2020-01-12 20:00:00,0.40170693614720654,Medium,Pending
286,3892981,C1247182605,2020-01-12 20:00:00,0.4172801416884374,Medium,Pending
287,3893013,C92835612,2020-01-12 20:00:00,0.5434765754152423,Medium,Pending
288,3894562,C1414844949,2020-01-12 20:00:00,0.5358003806056721,Medium,Pending
289,3894771,C183256540,2020-01-12 20:00:00,0.5395229906197427,Medium,Pending
290,3894772,C481996635,2020-01-12 20:00:00,0.460071286524642,Medium,Pending
291,3896402,C1259414396,2020-01-12 20:00:00,0.41631961477239676,Medium,Pending
292,3896887,C123249678,2020-01-12 20:00:00,0.6633078990925092,Medium,Pending
293,3896888,C320765058,2020-01-12 20:00:00,0.4599810345437645,Medium,Pending
294,3897278,C1971552782,2020-01-12 20:00:00,0.5529908548521256,Medium,Pending
295,3897349,C723071266,2020-01-12 20:00:00,0.48737565566814056,Medium,Pending
296,3898575,C69207480,2020-01-12 20:00:00,0.6537231920758293,Medium,Pending
297,3898576,C1590294576,2020-01-12 20:00:00,0.47755488251441935,Medium,Pending
298,3899863,C629399423,2020-01-12 20:00:00,0.5417374913380115,Medium,Pending
299,3900052,C582922071,2020-01-12 20:00:00,0.5479623432066094,Medium,Pending
300,3900872,C2012631779,2020-01-12 20:00:00,0.4183783279141183,Medium,Pending
301,3905005,C280291865,2020-01-12 20:00:00,0.4111064415162319,Medium,Pending
302,3906307,C1543531480,2020-01-12 20:00:00,0.5123568009084578,Medium,Pending
303,3907329,C371381343,2020-01-12 20:00:00,0.5008293472608148,Medium,Pending
304,3907330,C1014679131,2020-01-12 20:00:00,0.42641961303013814,Medium,Pending
305,3909964,C622002759,2020-01-12 20:00:00,0.47932321400243083,Medium,Pending
306,3909965,C1244192934,2020-01-12 20:00:00,0.42622587248272203,Medium,Pending
307,3910321,C776013573,2020-01-12 20:00:00,0.4444405143409884,Medium,Pending
308,3910584,C1551488980,2020-01-12 20:00:00,0.5690771674830677,Medium,Pending
309,3910585,C1573760427,2020-01-12 20:00:00,0.42982422741750387,Medium,Pending
310,3911095,C1633788245,2020-01-12 20:00:00,0.5504043880477794,Medium,Pending
311,3911096,C204258337,2020-01-12 20:00:00,0.423754272427851,Medium,Pending
312,3911648,C505076106,2020-01-12 20:00:00,0.4292402856000741,Medium,Pending
313,3911957,C1584456031,2020-01-12 20:00:00,0.8250240698854945,High,Pending
314,3911958,C2001136456,2020-01-12 20:00:00,0.42845417912740436,Medium,Pending
315,3912774,C1302296244,2020-01-12 20:00:00,0.48247411594540257,Medium,Pending
316,3913089,C1082560246,2020-01-12 20:00:00,0.47937539375300525,Medium,Pending
317,3913395,C1027368795,2020-01-12 20:00:00,0.4180936097584234,Medium,Pending
318,3913559,C1317011842,2020-01-12 20:00:00,0.459592468225942,Medium,Pending
319,3913734,C782472943,2020-01-12 20:00:00,0.43041995259706517,Medium,Pending
320,3913812,C865139105,2020-01-12 20:00:00,0.6637293439869298,Medium,Pending
321,3913951,C1455308835,2020-01-12 20:00:00,0.49525628280376494,Medium,Pending
322,3914027,C225814491,2020-01-12 20:00:00,0.4224424356140415,Medium,Pending
323,3914855,C1757506738,2020-01-12 20:00:00,0.4355543085426149,Medium,Pending
324,3916719,C868673021,2020-01-12 20:00:00,0.43994350383025776,Medium,Pending
325,3917703,C69208486,2020-01-12 20:00:00,0.6055399843022609,Medium,Pending
326,3917704,C570722616,2020-01-12 20:00:00,0.4325404606771204,Medium,Pending
327,3918680,C1775541743,2020-01-12 20:00:00,0.4211218031330156,Medium,Pending
328,3919269,C1061356691,2020-01-12 20:00:00,0.42891043581277993,Medium,Pending
329,3919270,C1358912433,2020-01-12 20:00:00,0.41652848347367943,Medium,Pending
330,3919658,C839057136,2020-01-12 20:00:00,0.4185594469516721,Medium,Pending
331,3919659,C465993614,2020-01-12 20:00:00,0.49237995984442146,Medium,Pending
332,3920262,C120440051,2020-01-12 20:00:00,0.5732798668363848,Medium,Pending
333,3920333,C1298218181,2020-01-12 20:00:00,0.41676300726442667,Medium,Pending
334,3920334,C315791959,2020-01-12 20:00:00,0.403509271187951,Medium,Pending
335,3921423,C2146002726,2020-01-12 20:00:00,0.4258859192633314,Medium,Pending
336,3921424,C477553292,2020-01-12 20:00:00,0.531437620402053,Medium,Pending
